symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
ASTERUSDTUSDT,1.38579255,1.46470038345,2025-10-12 12:00:00,2025-10-12 12:00:00,5.754884971527657,Smart Trailing (Max 293%),0 days 00:00:00,74.0977661785973,35.14643444124601,2.858503797323389,0.0032483938497076073
ASTERUSDTUSDT,1.44342135,1.4750847886500003,2025-10-12 12:15:00,2025-10-12 12:15:00,2.360298182927728,Smart Trailing (Max 117%),0 days 00:00:00,80.3316576941763,37.579199767623784,3.345316667446184,0.016774104110348652
1000RATSUSDTUSDT,0.022601294999999997,0.024326830500000004,2025-10-12 12:30:00,2025-10-12 12:30:00,8.600991323452673,Smart Trailing (Max 159%),0 days 00:00:00,75.64170698747273,55.480786855561135,2.6195445814214584,0.04565602836879431
1000RATSUSDTUSDT,0.024262125,0.025792422337500003,2025-10-12 12:45:00,2025-10-12 12:45:00,7.859201125815853,Smart Trailing (Max 133%),0 days 00:00:00,82.42195684604647,58.63972764271744,2.506463219471665,0.006185567010309312
1000RATSUSDTUSDT,0.025592789999999997,0.030189197850000005,2025-10-12 13:00:00,2025-10-12 13:00:00,24.488387337617116,Smart Trailing (Max 366%),0 days 00:00:00,85.6486466789536,59.47789992484225,4.90011012514051,0.011336982017201019
1000RATSUSDTUSDT,0.028024004999999998,0.027617853095535,2025-10-12 13:15:00,2025-10-12 13:15:00,-2.5728484322462766,Stop Loss,0 days 00:00:00,89.3386302152028,57.58420076022201,9.429555206458105,0.08142857142857146
GIGGLEUSDTUSDT,146.11301999999998,148.2233582086637,2025-10-12 13:30:00,2025-10-12 13:30:00,2.3396850601962225,Smart Trailing (Max 38%),0 days 00:00:00,75.94375648576474,35.575567539779954,2.695571760030014,0.013490378689310408
GIGGLEUSDTUSDT,155.81787,153.55960161009,2025-10-12 14:00:00,2025-10-12 14:00:00,-2.564223793353608,Stop Loss,0 days 00:00:00,83.91820490795443,39.70196714661402,3.6427373481975835,0.004624871531346344
GIGGLEUSDTUSDT,159.65979000000002,157.34584066353003,2025-10-12 14:15:00,2025-10-12 14:15:00,-2.507497655000567,Stop Loss,0 days 00:00:00,85.79463323420016,42.15226454921598,4.970041829240624,0.046234807668211975
ASTERUSDTUSDT,1.4633313,1.50563890395,2025-10-12 15:00:00,2025-10-12 15:00:00,4.646489211688598,Smart Trailing (Max 152%),0 days 00:00:00,68.784085748321,42.884113976645146,2.796021777738391,0.009982223437713777
FARTCOINUSDTUSDT,0.39789884999999997,0.409385205,2025-10-12 15:15:00,2025-10-12 15:15:00,4.824132696139342,Smart Trailing (Max 152%),0 days 00:00:00,81.08013915807287,27.176646344417208,4.864767514566631,0.007040482775961842
TAOUSDTUSDT,355.547685,363.03481179,2025-10-12 15:30:00,2025-10-12 15:30:00,3.6351577510350204,Smart Trailing (Max 113%),0 days 00:00:00,84.92649692635354,53.12836608550091,3.3906114294107406,0.006611895785268037
TAOUSDTUSDT,360.92037,373.87852722,2025-10-12 15:45:00,2025-10-12 15:45:00,6.439450940700821,Smart Trailing (Max 187%),0 days 00:00:00,86.33533685180386,54.317553676158354,2.9591904777674696,0.00795653017659617
TAOUSDTUSDT,367.313565,361.99008950245496,2025-10-12 16:00:00,2025-10-12 16:00:00,-2.8630443414365976,Stop Loss,0 days 00:00:00,87.82344823817435,56.501208173138515,4.025443059960057,0.019716775599128565
SNXUSDTUSDT,1.2876435,1.2689816827545,2025-10-12 16:15:00,2025-10-12 16:15:00,-2.7997076506827625,Stop Loss,0 days 00:00:00,89.43659726428974,44.82604899773186,5.413602666697742,0.046620046620046665
MOODENGUSDTUSDT,0.13038515999999997,0.12849548787611997,2025-10-12 16:30:00,2025-10-12 16:30:00,-2.7377721035779,Stop Loss,0 days 00:00:00,83.68812962645154,38.96381827084813,2.899774017776794,0.014351496546431393
MOODENGUSDTUSDT,0.12922457999999998,0.13290299670856312,2025-10-12 16:45:00,2025-10-12 16:45:00,4.993461991080686,Smart Trailing (Max 65%),0 days 00:00:00,80.11461596907996,40.37762231418235,2.835907803119248,0.02089945042185934
PUMPUSDTUSDT,0.004392195,0.004398778900305,2025-10-12 17:00:00,2025-10-12 17:00:00,0.18533129118302985,Smart Break-even,0 days 00:00:00,76.6328947349322,39.539974117016406,3.0750853385449286,0.0013667425968109177
SNXUSDTUSDT,1.5167579999999998,1.494775626306,2025-10-12 18:00:00,2025-10-12 18:00:00,-2.784177821133496,Stop Loss,0 days 00:00:00,86.16114175219194,58.33170254057044,4.733612651385217,0.012532981530342945
BERAUSDTUSDT,2.1700844999999997,2.1733374566654997,2025-10-13 01:15:00,2025-10-13 02:00:00,0.18136042764297028,Smart Break-even,0 days 00:45:00,67.60892139766814,32.80022484096415,3.8310761381535947,0.007376671277086222
4USDTUSDT,0.18608299499999997,0.183386094153465,2025-10-13 02:00:00,2025-10-13 02:00:00,-2.7206420949207315,Stop Loss,0 days 00:00:00,76.57091878488,26.820969452255238,3.430128413165118,0.040795485084654734
WUSDTUSDT,0.083251605,0.08204503948873501,2025-10-13 02:15:00,2025-10-13 02:15:00,-2.664338251549669,Stop Loss,0 days 00:00:00,69.55802771369612,27.263486007550878,2.787430834729525,0.00564903846153844
TAOUSDTUSDT,408.41410499999995,414.5281577275873,2025-10-13 03:00:00,2025-10-13 03:00:00,2.5144678338031787,Smart Trailing (Max 83%),0 days 00:00:00,78.08337066026823,39.89635007701058,3.0723075476348165,0.007643312101910839
TAOUSDTUSDT,414.657225,408.647597838075,2025-10-13 03:15:00,2025-10-13 03:30:00,-2.6573675770200698,Stop Loss,0 days 00:15:00,80.83676046242616,41.68808472557134,2.577739079678205,0.0018337113352315008
DASHUSDTUSDT,59.469719999999995,58.607825348039995,2025-10-13 04:00:00,2025-10-13 04:00:00,-2.5985808980961695,Stop Loss,0 days 00:00:00,66.10152024891364,31.736394322201058,3.202814417049283,0.02926829268292674
FFUSDTUSDT,0.144802365,0.15059773981087202,2025-10-13 04:45:00,2025-10-13 05:00:00,6.698358791996546,Smart Trailing (Max 87%),0 days 00:15:00,79.2915445501664,26.782506765993805,4.318409801200518,0.007599309153713421
FFUSDTUSDT,0.15073532999999997,0.15712375051678937,2025-10-13 05:15:00,2025-10-13 05:15:00,7.493676460090606,Smart Trailing (Max 91%),0 days 00:00:00,84.1494509975328,32.52577384415546,2.6038632052088877,0.002920483207221716
FFUSDTUSDT,0.15633813,0.15407232148191,2025-10-13 05:30:00,2025-10-13 05:30:00,-2.841191506284213,Stop Loss,0 days 00:00:00,87.15260448332654,34.28558941707468,4.100996771797626,0.008702886030588086
WLFIUSDTUSDT,0.14657325,0.148646024086029,2025-10-13 06:45:00,2025-10-13 06:45:00,2.527815285143341,Smart Trailing (Max 79%),0 days 00:00:00,73.69699034886796,32.064321342875324,2.6998260202640894,0.007508532423208312
1000RATSUSDTUSDT,0.032946465,0.032468971882755,2025-10-13 07:00:00,2025-10-13 07:00:00,-2.83047073557112,Stop Loss,0 days 00:00:00,85.99866410998519,43.67821847458908,6.558966303299003,0.06253794778384962
1000RATSUSDTUSDT,0.03191595,0.03145339213665,2025-10-13 07:15:00,2025-10-13 07:15:00,-2.7678546429483,Stop Loss,0 days 00:00:00,73.63210747623778,47.088349405522855,2.9365904187904643,0.048948854722309344
RENDERUSDTUSDT,2.885442,2.8436232890940003,2025-10-13 07:30:00,2025-10-13 07:45:00,-2.7066237527959145,Stop Loss,0 days 00:15:00,71.60989942581772,36.83874610593602,3.3364439243203425,0.0031206657420249297
