,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
1386,AIAUSDTUSDT,1.1023508999999998,1.0858316126,2025-10-29 17:45:00+00:00,2025-10-29 17:45:00+00:00,-613.2860769252288,28079.26431994955,Stop Loss,0 days 00:00:00,76.23570257130201,27.81393959060827,3.194888992953425,0.01924473493100954
1387,AIAUSDTUSDT,1.08844395,1.1074851732479314,2025-10-29 18:45:00+00:00,2025-10-29 18:45:00+00:00,658.1675624329154,28718.06687250664,Smart Trailing (Max 95%),0 days 00:00:00,66.8248919321239,36.060490050435504,3.5665259699560137,0.020033082154015842
1388,AIAUSDTUSDT,1.18449195,1.1667417373,2025-10-30 03:45:00+00:00,2025-10-30 03:45:00+00:00,-613.4081442540047,28084.853164892284,Stop Loss,0 days 00:00:00,68.6642480223119,50.18502793595032,4.913206818721786,0.03825690397770469
1389,JELLYJELLYUSDTUSDT,0.11741868,0.11565910152000002,2025-10-30 04:30:00+00:00,2025-10-30 04:30:00+00:00,-599.8829147520208,27465.601385888614,Stop Loss,0 days 00:00:00,67.77066031312677,45.63319264653366,3.847066630360886,0.02121496123370531
1390,AIAUSDTUSDT,1.2080037,1.273469696625,2025-10-30 04:45:00+00:00,2025-10-30 04:45:00+00:00,2034.0939632038521,29480.753555033236,Smart Trailing (Max 115%),0 days 00:00:00,68.54762912585711,52.45794455265618,2.7405420950086667,0.0023188405797100733
1391,AIAUSDTUSDT,1.2708351,1.2517909914,2025-10-30 05:00:00+00:00,2025-10-30 05:00:00+00:00,-629.6988724792998,28830.72312837805,Stop Loss,0 days 00:00:00,77.80935189088453,53.89879898485422,5.765809278120787,0.00566884497283686
1392,AIAUSDTUSDT,1.2408200999999999,1.2222257814,2025-10-30 05:15:00+00:00,2025-10-30 05:15:00+00:00,-615.8144435762886,28195.025427471846,Stop Loss,0 days 00:00:00,67.5443502722413,55.367418571979215,5.451711542956731,0.041690186275300446
1393,AIAUSDTUSDT,1.3118556,1.2921967784,2025-10-30 05:30:00+00:00,2025-10-30 05:30:00+00:00,-602.2361568221517,27573.3444255273,Stop Loss,0 days 00:00:00,75.71981212703251,54.34514396381074,4.998002001950415,0.0038895668090299764
1394,JELLYJELLYUSDTUSDT,0.124692315,0.12487922878018501,2025-10-30 05:45:00+00:00,2025-10-30 05:45:00+00:00,37.98464470605092,27592.31297062954,Smart Break-even,0 days 00:00:00,77.53146992728594,41.33174033781255,3.0521776832151457,0.03361951376073165
1395,KDAUSDTUSDT,0.049264619999999995,0.04852636468,2025-10-30 06:15:00+00:00,2025-10-30 06:15:00+00:00,-589.362423666234,26983.921365604252,Stop Loss,0 days 00:00:00,66.87014128384587,26.906192407395913,5.048028859048644,0.00487705750863654
1396,KDAUSDTUSDT,0.04978488,0.054048832065,2025-10-30 06:30:00+00:00,2025-10-30 06:30:00+00:00,3169.113053317837,30134.424817980293,Smart Trailing (Max 436%),0 days 00:00:00,68.93438076327969,27.639997461056716,4.968976201725829,0.015066291683407005
1397,FLMUSDTUSDT,0.02631315,0.028956514500000002,2025-10-30 06:45:00+00:00,2025-10-30 06:45:00+00:00,4154.712198094811,34268.35465413167,Smart Trailing (Max 511%),0 days 00:00:00,80.43628355223458,32.151481567801845,7.827525128710776,0.17424242424242425
1398,KDAUSDTUSDT,0.05086542,0.05010317588000001,2025-10-30 07:00:00+00:00,2025-10-30 07:00:00+00:00,-731.9604041716649,33512.76090192267,Stop Loss,0 days 00:00:00,70.75887097731702,31.376940917621855,2.8324025384160745,0.03029110936270652
1399,JELLYJELLYUSDTUSDT,0.131655795,0.12968286613000002,2025-10-30 09:45:00+00:00,2025-10-30 09:45:00+00:00,-715.8211785263554,32773.82747449844,Stop Loss,0 days 00:00:00,73.97388644052664,58.32426575202395,3.2525480932441435,0.04831358249772109
1400,JELLYJELLYUSDTUSDT,0.139479705,0.13738953087,2025-10-30 11:45:00+00:00,2025-10-30 11:45:00+00:00,-700.0378117539452,32051.187023106908,Stop Loss,0 days 00:00:00,73.89322405620804,56.9431879261836,2.9894720288743937,0.029612102961210255
1401,JELLYJELLYUSDTUSDT,0.14573283,0.14354894962000003,2025-10-30 15:00:00+00:00,2025-10-30 15:00:00+00:00,-684.6024574099703,31344.48029878445,Stop Loss,0 days 00:00:00,71.35732572971186,47.893505580756525,3.3561974420708824,0.08878055479263937
1402,42USDTUSDT,0.1310655,0.12910141700000002,2025-10-30 17:00:00+00:00,2025-10-30 17:00:00+00:00,-669.5074420587274,30653.355973761045,Stop Loss,0 days 00:00:00,71.97454890023646,30.54803604057448,2.767739016110835,0.02229177799832053
1403,42USDTUSDT,0.13243618499999998,0.13045156159,2025-10-30 17:15:00+00:00,2025-10-30 17:15:00+00:00,-654.7452614585019,29977.4704668034,Stop Loss,0 days 00:00:00,73.59151858236635,33.635143881647366,4.312023955380524,0.02689634330613484
