,symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
272,OPUSDTUSDT,0.83071515,0.8373,2025-07-28 05:15:00,2025-07-28 05:15:00,0.45752862602580435,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
273,OPUSDTUSDT,0.83071515,0.83196039200985,2025-07-28 05:15:00,2025-07-28 05:30:00,0.08642816882029061,Stop Loss,0 days 00:15:00,84.55083281888264,35.87877574966996,3.647743329335478,0.003131775475788889
274,CFXUSDTUSDT,0.22275132,0.23263,2025-07-29 05:30:00,2025-07-29 05:30:00,2.5765233986727827,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
275,CFXUSDTUSDT,0.22275132,0.24023,2025-07-29 05:30:00,2025-07-29 05:45:00,3.419046977777951,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
276,CFXUSDTUSDT,0.22275132,0.24300843500000002,2025-07-29 05:30:00,2025-07-29 06:00:00,3.9387756507711007,Final TP 40%,0 days 00:30:00,81.30649938493197,51.44831785065136,6.327773816914991,0.005747126436781624
277,BIOUSDTUSDT,0.07913955,0.076331480917125,2025-07-29 12:00:00,2025-07-29 12:00:00,-5.9329842474086645,Stop Loss,0 days 00:00:00,73.19793641973939,36.634612331879886,3.9152546593164215,0.005057529396889765
278,FUNUSDTUSDT,0.0130455195,0.01258263185434125,2025-07-30 08:45:00,2025-07-30 09:00:00,-5.50029753391966,Stop Loss,0 days 00:15:00,72.67046797887616,36.48479462862541,3.6442537324048514,0.0004602285801948912
279,BANANAS31USDTUSDT,0.008063029499999999,0.007776933055766249,2025-07-31 07:45:00,2025-07-31 08:00:00,-5.099166237438832,Stop Loss,0 days 00:15:00,79.52785546418946,36.65327594340159,7.541401375603388,0.0052122114668652735
280,TREEUSDTUSDT,0.5778888,0.557383860654,2025-08-01 10:45:00,2025-08-01 11:00:00,-4.727289052399078,Stop Loss,0 days 00:15:00,75.48266444354775,29.438419058922925,3.8588466519099374,0.01558171745152356
281,BABYUSDTUSDT,0.064242105,0.0619626345093375,2025-08-01 14:15:00,2025-08-01 14:15:00,-4.3825325051878785,Stop Loss,0 days 00:00:00,74.65124828597568,45.14762400828852,4.175540866606939,0.0034283933302165803
282,OMUSDTUSDT,0.2539269,0.26304,2025-08-03 09:00:00,2025-08-03 09:00:00,1.621729432390049,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
