timestamp,open,high,low,close,volume
2025-12-06 00:41:00,9.164,9.164,9.162,9.162,121.2
2025-12-06 00:42:00,9.163,9.166,9.162,9.162,35.9
2025-12-06 00:43:00,9.162,9.162,9.162,9.162,0.0
2025-12-06 00:44:00,9.162,9.162,9.154,9.154,26.5
2025-12-06 00:45:00,9.16,9.168,9.16,9.161,23.1
2025-12-06 00:46:00,9.161,9.161,9.161,9.161,5.2
2025-12-06 00:47:00,9.16,9.16,9.159,9.16,9.0
2025-12-06 00:48:00,9.161,9.168,9.161,9.164,6.9
2025-12-06 00:49:00,9.163,9.163,9.16,9.16,7.4
2025-12-06 00:50:00,9.16,9.166,9.152,9.166,23.4
2025-12-06 00:51:00,9.161,9.161,9.143,9.143,33.1
2025-12-06 00:52:00,9.156,9.167,9.145,9.166,41.6
2025-12-06 00:53:00,9.162,9.165,9.161,9.165,7.2
2025-12-06 00:54:00,9.161,9.165,9.152,9.162,53.0
2025-12-06 00:55:00,9.16,9.163,9.16,9.163,34.6
2025-12-06 00:56:00,9.165,9.178,9.165,9.171,163.2
2025-12-06 00:57:00,9.171,9.173,9.163,9.163,7.5
2025-12-06 00:58:00,9.168,9.178,9.167,9.174,36.2
2025-12-06 00:59:00,9.174,9.18,9.167,9.179,133.9
2025-12-06 01:00:00,9.177,9.217,9.177,9.208,323.9
2025-12-06 01:01:00,9.206,9.215,9.206,9.209,110.4
2025-12-06 01:02:00,9.21,9.21,9.192,9.194,286.2
2025-12-06 01:03:00,9.194,9.199,9.187,9.19,193.1
2025-12-06 01:04:00,9.202,9.202,9.19,9.192,18.0
2025-12-06 01:05:00,9.191,9.208,9.184,9.184,210.8
2025-12-06 01:06:00,9.2,9.205,9.195,9.195,27.4
2025-12-06 01:07:00,9.205,9.208,9.184,9.184,36.7
2025-12-06 01:08:00,9.203,9.207,9.198,9.198,31.2
2025-12-06 01:09:00,9.195,9.195,9.188,9.189,6.6
2025-12-06 01:10:00,9.195,9.196,9.192,9.192,7.6
2025-12-06 01:11:00,9.196,9.196,9.184,9.184,100.2
2025-12-06 01:12:00,9.184,9.184,9.122,9.141,1154.5
2025-12-06 01:13:00,9.142,9.143,9.138,9.143,13.6
2025-12-06 01:14:00,9.141,9.152,9.139,9.149,71.3
2025-12-06 01:15:00,9.149,9.149,9.147,9.147,54.3
2025-12-06 01:16:00,9.146,9.146,9.143,9.145,102.2
2025-12-06 01:17:00,9.144,9.144,9.118,9.128,305.9
2025-12-06 01:18:00,9.135,9.153,9.135,9.152,83.7
2025-12-06 01:19:00,9.15,9.161,9.15,9.161,23.6
2025-12-06 01:20:00,9.158,9.164,9.152,9.152,181.1
2025-12-06 01:21:00,9.152,9.157,9.145,9.146,59.2
2025-12-06 01:22:00,9.147,9.168,9.147,9.16,41.4
2025-12-06 01:23:00,9.16,9.16,9.157,9.16,39.1
2025-12-06 01:24:00,9.161,9.166,9.145,9.15,73.0
2025-12-06 01:25:00,9.149,9.154,9.148,9.148,34.3
2025-12-06 01:26:00,9.151,9.152,9.148,9.152,16.4
2025-12-06 01:27:00,9.155,9.156,9.152,9.155,11.6
2025-12-06 01:28:00,9.161,9.166,9.157,9.166,32.3
2025-12-06 01:29:00,9.16,9.168,9.152,9.168,67.9
2025-12-06 01:30:00,9.164,9.17,9.164,9.166,98.5
2025-12-06 01:31:00,9.166,9.173,9.166,9.173,35.8
2025-12-06 01:32:00,9.175,9.184,9.166,9.171,137.7
2025-12-06 01:33:00,9.175,9.182,9.175,9.176,65.2
2025-12-06 01:34:00,9.176,9.181,9.176,9.18,16.0
2025-12-06 01:35:00,9.181,9.19,9.175,9.187,174.7
2025-12-06 01:36:00,9.182,9.19,9.182,9.187,36.3
2025-12-06 01:37:00,9.184,9.191,9.172,9.181,85.5
2025-12-06 01:38:00,9.176,9.182,9.176,9.178,10.5
2025-12-06 01:39:00,9.179,9.191,9.168,9.179,72.2
2025-12-06 01:40:00,9.178,9.178,9.164,9.176,65.2
2025-12-06 01:41:00,9.175,9.178,9.175,9.177,11.1
2025-12-06 01:42:00,9.176,9.179,9.176,9.177,25.3
2025-12-06 01:43:00,9.182,9.184,9.179,9.18,12.7
2025-12-06 01:44:00,9.18,9.184,9.155,9.155,96.2
2025-12-06 01:45:00,9.157,9.16,9.156,9.159,135.2
2025-12-06 01:46:00,9.157,9.161,9.156,9.159,16.8
2025-12-06 01:47:00,9.163,9.163,9.163,9.163,1.1
2025-12-06 01:48:00,9.17,9.173,9.17,9.173,6.3
2025-12-06 01:49:00,9.17,9.171,9.17,9.17,3.6
2025-12-06 01:50:00,9.164,9.164,9.151,9.158,36.2
2025-12-06 01:51:00,9.157,9.168,9.157,9.167,25.8
2025-12-06 01:52:00,9.16,9.166,9.159,9.161,4.0
2025-12-06 01:53:00,9.168,9.169,9.168,9.169,3.1
2025-12-06 01:54:00,9.169,9.169,9.169,9.169,0.0
2025-12-06 01:55:00,9.171,9.179,9.171,9.179,29.4
2025-12-06 01:56:00,9.176,9.178,9.176,9.178,26.8
2025-12-06 01:57:00,9.177,9.178,9.177,9.178,2.7
2025-12-06 01:58:00,9.178,9.182,9.164,9.178,121.9
2025-12-06 01:59:00,9.177,9.183,9.177,9.18,16.3
2025-12-06 02:00:00,9.178,9.192,9.177,9.185,167.2
2025-12-06 02:01:00,9.178,9.187,9.178,9.187,156.9
2025-12-06 02:02:00,9.186,9.187,9.155,9.164,360.4
2025-12-06 02:03:00,9.167,9.177,9.157,9.169,253.1
2025-12-06 02:04:00,9.169,9.177,9.168,9.177,44.4
2025-12-06 02:05:00,9.171,9.171,9.161,9.161,30.3
2025-12-06 02:06:00,9.162,9.165,9.16,9.16,36.0
2025-12-06 02:07:00,9.161,9.161,9.16,9.16,4.3
2025-12-06 02:08:00,9.16,9.167,9.156,9.162,18.3
2025-12-06 02:09:00,9.161,9.161,9.158,9.158,3.7
2025-12-06 02:10:00,9.158,9.158,9.142,9.145,129.3
2025-12-06 02:11:00,9.144,9.145,9.136,9.145,166.2
2025-12-06 02:12:00,9.145,9.147,9.121,9.133,371.0
2025-12-06 02:13:00,9.133,9.134,9.133,9.134,5.4
2025-12-06 02:14:00,9.133,9.133,9.12,9.129,29.4
2025-12-06 02:15:00,9.132,9.134,9.13,9.134,57.4
2025-12-06 02:16:00,9.133,9.134,9.13,9.133,135.9
